Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
MARCANDALLI,GENOA,D,5,5,0,0,0,0,0,0,0,0,4
MIRANDA J,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,4
MOLINA L,ROMA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MONTERISI,FROSINONE,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
MORENO MA,VENEZIA,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
NUNO TAVARES,LAZIO,D,7,7,0,0,0,0,0,0,0,0,4
OBERT,CAGLIARI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
OLIVERA,NAPOLI,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
OSTIGARD,GENOA,D,6,6,0,0,0,0,0,0,0,0,4
OYONO,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,4
PAVLOVIC S,MILAN,D,"5,5",6,0,0,-0.5,0,0,0,0,0,4
PONGRACIC,FIORENTINA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
PROVSTGAARD O,LAZIO,D,6,6,0,0,0,0,0,0,0,0,4
RAFA MARIN,NAPOLI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
RANIERI,FIORENTINA,D,6,6,0,0,0,0,0,0,0,0,4
RENSCH D,ROMA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
RODRIGUEZ JU,CAGLIARI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
RODRIGUEZ R,TORINO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
RRAHMANI,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,4
SAGRADO R,VENEZIA,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
SCALVINI,ATALANTA,D,5,5,0,0,0,0,0,0,0,0,4
SCHINGTIENNE J,VENEZIA,D,"4,5",5,0,0,-0.5,0,0,0,0,0,4
SIEBERT,LECCE,D,7,7,0,0,0,0,0,0,0,0,4
SPINAZZOLA,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,4
SUGAWARA Y,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,4
SUTALO,LAZIO,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
THEATE,BOLOGNA,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
TROILO,PARMA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
VALERI,PARMA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
VASQUEZ,GENOA,D,"8,5",6.5,3,0,0,-1,0,0,0,0,4
VEIGA D,LECCE,D,7,6.5,0,0,-0.5,0,0,0,1,0,4
VIERY,FIORENTINA,D,6,6,0,0,0,0,0,0,0,0,4
YAN COUTO,COMO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ZE PEDRO,CAGLIARI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
ADOPO,CAGLIARI,C,"7,5",6.5,0,0,0,0,0,0,1,0,4
ADZIC V,SASSUOLO,C,10,7,3,0,0,0,0,0,0,0,4
AKINSANMIRO E,MONZA,C,5,5,0,0,0,0,0,0,0,0,4
ALAJBEGOVIC,JUVENTUS,C,5,5,0,0,0,0,0,0,0,0,4
AMONDARAIN,BOLOGNA,C,"4,5",5,0,0,-0.5,0,0,0,0,0,4
AMORIM A,GENOA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ATTA,FIORENTINA,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
BAKOLA D,SASSUOLO,C,8,7,0,0,0,0,0,0,1,0,4
BALDANZI,GENOA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
BATURINA,COMO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
BELAHYANE,LAZIO,C,"5,5",6,0,0,-0.5,0,0,0,0,0,4
BERNABE,PARMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
BERNARDESCHI,BOLOGNA,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
BERNASCONI L,ATALANTA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
BRAGANCA,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
BRESCIANINI,FIORENTINA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
BUSIO,VENEZIA,C,"7,5",6.5,0,0,0,0,0,0,1,0,4
CALO',FROSINONE,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
CANCELLIERI,LAZIO,C,10,7,3,0,0,0,0,0,0,0,4
CAQUERET,COMO,C,S.V.,S.V.,0,0,-0.5,0,0,0,0,0,4
CHUKWUEZE,MILAN,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
COLPANI,MONZA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
CONCEICAO F,JUVENTUS,C,5,5,0,0,0,0,0,0,0,0,4
COULIBALY L,LECCE,C,"13,5",7.5,6,0,0,0,0,0,0,0,4
CRISTANTE,ROMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DA CUNHA,COMO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DE BRUYNE,NAPOLI,C,6,6,0,0,0,0,0,0,0,0,4
DE ROON,ROMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DEIOLA,CAGLIARI,C,7,7,0,0,0,0,0,0,0,0,4
DOMINGUEZ BE,SASSUOLO,C,6,6,0,0,0,0,0,0,0,0,4
DOUGLAS LUIZ,JUVENTUS,C,"4,5",5,0,0,-0.5,0,0,0,0,0,4
EDERSON DS,ATALANTA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
EL SHAARAWY,GENOA,C,6,6,0,0,0,0,0,0,0,0,4
ELLERTSSON,GENOA,C,6,6,0,0,0,0,0,0,0,0,4
FABBIAN,PARMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
FADERA A,CAGLIARI,C,6,6,0,0,0,0,0,0,0,0,4
FAGIOLI,FIORENTINA,C,"8,5",7.5,0,0,0,0,0,0,1,0,4
FAVASULI,NAPOLI,C,8,7,0,0,0,0,0,0,1,0,4
FAZZINI,CAGLIARI,C,6,6,0,0,0,0,0,0,0,0,4
FERGUSON,BOLOGNA,C,6,6,0,0,0,0,0,0,0,0,4
FITZ-JIM,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
FOLORUNSHO,MONZA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
FRATTESI,LAZIO,C,6,6,0,0,0,0,0,0,0,0,4
FRENDRUP,GENOA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
GILMOUR,NAPOLI,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
GINEITIS,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
HASA L,FROSINONE,C,6,6,0,0,0,0,0,0,0,0,4
HELGASON,VENEZIA,C,6,6,0,0,0,0,0,0,0,0,4
HUTCHINSON O,MILAN,C,6,6,0,0,0,0,0,0,0,0,4
ILIC,LECCE,C,"8,5",6.5,0,0,0,0,0,0,0,2,4
ILKHAN,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ISAKSEN,LAZIO,C,5,5,0,0,0,0,0,0,0,0,4
KABA,LECCE,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
KEITA MA,PARMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
KESSIE,ATALANTA,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
KONE,ROMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
KOOPMEINERS,JUVENTUS,C,5,5,0,0,0,0,0,0,0,0,4
LIBRA M,BOLOGNA,C,5,5,0,0,0,0,0,0,0,0,4
LIPANI,SASSUOLO,C,6,6.5,0,0,-0.5,0,0,0,0,0,4
LOBOTKA,NAPOLI,C,10,7,3,0,0,0,0,0,0,0,4
LOFTUS-CHEEK,MILAN,C,"4,5",4.5,0,0,0,0,0,0,0,0,4
MALDINI,CAGLIARI,C,10,7,0,3,0,0,0,0,0,0,4
MALEH,LECCE,C,6,6,0,0,0,0,0,0,0,0,4
MANDRAGORA,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MASINI,FROSINONE,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
MASTANTUONO,FIORENTINA,C,17,8,9,0,0,0,0,0,0,0,4
MATIC,SASSUOLO,C,"8,5",7.5,0,0,0,0,0,0,1,0,4
MEICHTRY,GENOA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MESSIAS,GENOA,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
MILLA L,COMO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MODRIC,MILAN,C,5,5,0,0,0,0,0,0,0,0,4
MORA R,ROMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MOREIRA D,MILAN,C,14,8,6,0,0,0,0,0,0,0,4
MORO N,BOLOGNA,C,5,5,0,0,0,0,0,0,0,0,4
MOUT,MONZA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MUSAH,MILAN,C,7,7,0,0,0,0,0,0,0,0,4
NDOUR,FIORENTINA,C,6,6,0,0,0,0,0,0,0,0,4
NGOM O,LECCE,C,6,6,0,0,0,0,0,0,0,0,4
NICO PAZ,COMO,C,S.V.,S.V.,0,0,0,0,0,0,1,0,4
PASALIC,ATALANTA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
PEDRO GON,FIORENTINA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
PEREZ K,VENEZIA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
PERRONE,COMO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
PIEROTTI,LECCE,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
PISILLI,ROMA,C,S.V.,S.V.,3,0,-0.5,0,0,0,0,0,4
POBEGA,BOLOGNA,C,5,5,0,0,0,0,0,0,0,0,4
POLITANO,NAPOLI,C,5,5,0,0,0,0,0,0,0,0,4
PULISIC,MILAN,C,"7,5",7,0,0,-0.5,0,0,0,1,0,4
RABIOT,MILAN,C,"7,5",6.5,0,0,0,0,0,0,1,0,4
RICCI S,COMO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ROMANO A,CAGLIARI,C,7,7,0,0,0,0,0,0,0,0,4
ROWE J,ATALANTA,C,5,5,0,0,0,0,0,0,0,0,4
SAMARDZIC,ATALANTA,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
SARR PM,JUVENTUS,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
SCHMID R,FROSINONE,C,8,7,0,0,0,0,0,0,1,0,4
SIERRO,PARMA,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
SOHM,VENEZIA,C,"4,5",5,0,0,-0.5,0,0,0,0,0,4
SOW,GENOA,C,"6,5",5.5,0,0,0,0,0,0,0,1,4
TAYLOR,LAZIO,C,"6,5",6.5,0,0,0,0,0,0,0,0,4
THORSTVEDT,SASSUOLO,C,7,7,0,0,0,0,0,0,0,0,4
VERGARA,NAPOLI,C,"5,5",5.5,0,0,0,0,0,0,0,0,4
VLASIC,TORINO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
WINKS H,CAGLIARI,C,7,7,0,0,0,0,0,0,0,0,4
ZACCAGNI,LAZIO,C,7,6.5,0,0,-0.5,0,0,0,1,0,4
ZERBIN,FROSINONE,C,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ZHEGROVA,JUVENTUS,C,"13,5",7.5,6,0,0,0,0,0,0,0,4
AKOR,VENEZIA,A,9,6,3,0,0,0,0,0,0,0,4
ALMQVIST,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,1,0,4
BERARDI D,SASSUOLO,A,7,7,0,0,0,0,0,0,0,0,4
BETO,FIORENTINA,A,6,6,0,0,0,0,0,0,0,0,4
BOBCEK,FROSINONE,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
BOWIE K,SASSUOLO,A,10,7,3,0,0,0,0,0,0,0,4
CACCIAMANI A,TORINO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
CAMARDA,MILAN,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
CAMBIAGHI,BOLOGNA,A,5,5,0,0,0,0,0,0,0,0,4
CARLOS K,CAGLIARI,A,6,6,0,0,0,0,0,0,0,0,4
CASTRO S,ROMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
CISSE A,MILAN,A,6,6,0,0,0,0,0,0,0,0,4
COLOMBO,GENOA,A,"1,5",4.5,0,0,0,0,-3,0,0,0,4
CUTRONE,MONZA,A,"6,5",6.5,0,0,0,0,0,0,0,0,4
DE KETELAERE,ATALANTA,A,5,5,0,0,0,0,0,0,0,0,4
DIAO A,COMO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DOUVIKAS,COMO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DYBALA,ROMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ELPHEGE,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ENEM,BOLOGNA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ESPOSITO SE,SASSUOLO,A,"10,5",7.5,3,0,0,0,0,0,0,0,4
ESTEBAN,LECCE,A,6,6,0,0,0,0,0,0,0,0,4
FATAH A,LECCE,A,6,6,0,0,0,0,0,0,0,0,4
FERNANDEZ AN,VENEZIA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
FORSON O,MONZA,A,6,6,0,0,0,0,0,0,0,0,4
FRIGAN,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
GHEDJEMIS F,FROSINONE,A,"6,5",6.5,0,0,0,0,0,0,0,0,4
GNONTO W,FIORENTINA,A,6,6,0,0,0,0,0,0,0,0,4
GONZALEZ,JUVENTUS,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
GUDMUNDSSON A,LAZIO,A,6,6,0,0,0,0,0,0,0,0,4
HOJLUND,NAPOLI,A,6,6,0,0,0,0,0,0,0,0,4
KEAN,COMO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
KOLO MUANI,JUVENTUS,A,5,4,0,0,0,0,0,0,1,0,4
KRSTOVIC,ATALANTA,A,5,5,0,0,0,0,0,0,0,0,4
KVERNADZE,FROSINONE,A,10,7,3,0,0,0,0,0,0,0,4
LANG,NAPOLI,A,6,6,0,0,0,0,0,0,0,0,4
LAUBERBACH L,VENEZIA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
LAURIENTE',SASSUOLO,A,8,7,0,0,0,0,0,0,1,0,4
LONTANI S,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
LUCCA,NAPOLI,A,5,5,0,0,0,0,0,0,0,0,4
MALEN,ROMA,A,S.V.,S.V.,3,0,0,0,0,0,0,0,4
MBANGULA S,BOLOGNA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
MENDY P,CAGLIARI,A,10,7,3,0,0,0,0,0,0,0,4
MONTEIRO,LECCE,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
N'DRI K,LECCE,A,"4,5",5,0,0,-0.5,0,0,0,0,0,4
NJIE,FIORENTINA,A,6,6.5,0,0,-0.5,0,0,0,0,0,4
NOSLIN,LAZIO,A,"9,5",6.5,3,0,0,0,0,0,0,0,4
OBOAVWODUO J,JUVENTUS,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ODGAARD J,BOLOGNA,A,5,5,0,0,0,0,0,0,0,0,4
OSMAJIC,GENOA,A,6,6,0,0,0,0,0,0,0,0,4
PELLEGRINO MAT,FIORENTINA,A,10,7,3,0,0,0,0,0,0,0,4
PICCOLI,BOLOGNA,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
PINAMONTI,LAZIO,A,5,5,0,0,0,0,0,0,0,0,4
RAIMONDO,FROSINONE,A,5,5,0,0,0,0,0,0,0,0,4
RAMOS G,MILAN,A,5,5,0,0,0,0,0,0,0,0,4
RASPADORI,ATALANTA,A,5,5,0,0,0,0,0,0,0,0,4
ROBINSON JAY,MONZA,A,"6,5",6.5,0,0,0,0,0,0,0,0,4
RODRIGUEZ JE,COMO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ROMERO D,PARMA,A,S.V.,S.V.,3,0,0,0,0,0,0,0,4
SCAMACCA,ATALANTA,A,9,6,3,0,0,0,0,0,0,0,4
SEYDOU FINI,FROSINONE,A,"6,5",6.5,0,0,0,0,0,0,0,0,4
SIMEONE,TORINO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
SOULE,ROMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
STULIC,LECCE,A,6,6,0,0,0,0,0,0,0,0,4
TOURE' E,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
VARELA GM,MONZA,A,6,6,0,0,0,0,0,0,0,0,4
VITINHA M,GENOA,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
WOLTEMADE,JUVENTUS,A,5,5,0,0,0,0,0,0,0,0,4
YEBOAH J,VENEZIA,A,"5,5",5.5,0,0,0,0,0,0,0,0,4
ZAPATA D,TORINO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ZEBALLOS,MONZA,A,9,6,3,0,0,0,0,0,0,0,4
ABATE I,,,S.V.,S.V.,0,0,0,0,0,0,0,0,4
ALLEGRI,,,6,6,0,0,0,0,0,0,0,0,4
ALVINI,,,"6,5",6.5,0,0,0,0,0,0,0,0,4
AMORIM,,,"5,5",5.5,0,0,0,0,0,0,0,0,4
AQUILANI,,,"7,5",7.5,0,0,0,0,0,0,0,0,4
CUESTA,,,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DE ROSSI D,,,6,6,0,0,0,0,0,0,0,0,4
DI FRANCESCO E,,,"6,5",6.5,0,0,0,0,0,0,0,0,4
FABREGAS,,,S.V.,S.V.,0,0,0,0,0,0,0,0,4
GASPERINI,,,S.V.,S.V.,0,0,0,0,0,0,0,0,4
GATTUSO,,,"6,5",6.5,0,0,0,0,0,0,0,0,4
JURIC,,,6,6,0,0,0,0,0,0,0,0,4
PISACANE,,,7,7,0,0,0,0,0,0,0,0,4
SARRI,,,"5,5",5.5,0,0,0,0,0,0,0,0,4
SPALLETTI,,,5,5,0,0,0,0,0,0,0,0,4
STROPPA,,,"5,5",5.5,0,0,0,0,0,0,0,0,4
TEDESCO D,,,5,5,0,0,0,0,0,0,0,0,4
VANOLI,,,7,7,0,0,0,0,0,0,0,0,4
